______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/391: Loss: 0.79 | Accuracy: 0.44
[Training] Itteration/Batch:  25/391: Loss: 0.68 | Accuracy: 0.62
[Training] Itteration/Batch:  50/391: Loss: 0.78 | Accuracy: 0.44
[Training] Itteration/Batch:  75/391: Loss: 0.70 | Accuracy: 0.44
[Training] Itteration/Batch: 100/391: Loss: 0.63 | Accuracy: 0.62
[Training] Itteration/Batch: 125/391: Loss: 0.68 | Accuracy: 0.69
[Training] Itteration/Batch: 150/391: Loss: 0.74 | Accuracy: 0.56
[Training] Itteration/Batch: 175/391: Loss: 0.43 | Accuracy: 0.81
[Training] Itteration/Batch: 200/391: Loss: 0.59 | Accuracy: 0.62
[Training] Itteration/Batch: 225/391: Loss: 0.59 | Accuracy: 0.69
[Training] Itteration/Batch: 250/391: Loss: 0.68 | Accuracy: 0.62
[Training] Itteration/Batch: 275/391: Loss: 0.65 | Accuracy: 0.69
[Training] Itteration/Batch: 300/391: Loss: 0.63 | Accuracy: 0.56
[Training] Itteration/Batch: 325/391: Loss: 0.53 | Accuracy: 0.75
[Training] Itteration/Batch: 350/391: Loss: 0.57 | Accuracy: 0.69
[Training] Itteration/Batch: 375/391: Loss: 0.53 | Accuracy: 0.81

Epoch 1: Val Bin. F1 Majority 0.6193921566009521 | Val Macro F1 Majority 0.7157003813970906 |             Val Bin F1 Individual 0.5991137623786926 | Val Macro F1 Individual 0.708544125412247 |             Val Accuracy Majority 0.7483253479003906 | Val Accuracy Individual 0.7496309876441956 | Training Loss:0.6158891916275024 |             Val Loss 0.5394601821899414 | Train Runtime Millis 25882.767866999984 | Val Runtime Millis 3998.5632069997337

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/391: Loss: 0.55 | Accuracy: 0.75
[Training] Itteration/Batch:  25/391: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch:  50/391: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch:  75/391: Loss: 0.57 | Accuracy: 0.69
[Training] Itteration/Batch: 100/391: Loss: 0.42 | Accuracy: 0.75
[Training] Itteration/Batch: 125/391: Loss: 0.46 | Accuracy: 0.75
[Training] Itteration/Batch: 150/391: Loss: 0.33 | Accuracy: 0.94
[Training] Itteration/Batch: 175/391: Loss: 0.57 | Accuracy: 0.69
[Training] Itteration/Batch: 200/391: Loss: 0.54 | Accuracy: 0.75
[Training] Itteration/Batch: 225/391: Loss: 0.46 | Accuracy: 0.81
[Training] Itteration/Batch: 250/391: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 275/391: Loss: 0.24 | Accuracy: 0.94
[Training] Itteration/Batch: 300/391: Loss: 0.26 | Accuracy: 0.81
[Training] Itteration/Batch: 325/391: Loss: 0.46 | Accuracy: 0.75
[Training] Itteration/Batch: 350/391: Loss: 0.70 | Accuracy: 0.62
[Training] Itteration/Batch: 375/391: Loss: 0.49 | Accuracy: 0.81

Epoch 2: Val Bin. F1 Majority 0.7116279006004333 | Val Macro F1 Majority 0.7550009453582908 |             Val Bin F1 Individual 0.6639829277992249 | Val Macro F1 Individual 0.7247676578146309 |             Val Accuracy Majority 0.762679398059845 | Val Accuracy Individual 0.7381919026374817 | Training Loss:0.4523462653160095 |             Val Loss 0.4839644134044647 | Train Runtime Millis 25450.617946999955 | Val Runtime Millis 4076.419755999723

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/391: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch:  25/391: Loss: 0.37 | Accuracy: 0.88
[Training] Itteration/Batch:  50/391: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch:  75/391: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 100/391: Loss: 0.26 | Accuracy: 0.88
[Training] Itteration/Batch: 125/391: Loss: 0.32 | Accuracy: 0.81
[Training] Itteration/Batch: 150/391: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 175/391: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 200/391: Loss: 0.46 | Accuracy: 0.88
[Training] Itteration/Batch: 225/391: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch: 250/391: Loss: 0.34 | Accuracy: 0.88
[Training] Itteration/Batch: 275/391: Loss: 0.33 | Accuracy: 0.88
[Training] Itteration/Batch: 300/391: Loss: 0.65 | Accuracy: 0.62
[Training] Itteration/Batch: 325/391: Loss: 0.27 | Accuracy: 0.94
[Training] Itteration/Batch: 350/391: Loss: 0.23 | Accuracy: 0.88
[Training] Itteration/Batch: 375/391: Loss: 0.53 | Accuracy: 0.81

Epoch 3: Val Bin. F1 Majority 0.70561283826828 | Val Macro F1 Majority 0.7472189043909261 |             Val Bin F1 Individual 0.6652651429176331 | Val Macro F1 Individual 0.723393349190691 |             Val Accuracy Majority 0.7540670037269592 | Val Accuracy Individual 0.7356088757514954 | Training Loss:0.2818033993244171 |             Val Loss 0.5651636719703674 | Train Runtime Millis 25524.23154899998 | Val Runtime Millis 3995.4151900001307

