______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/400: Loss: 0.81 | Accuracy: 0.25
[Training] Itteration/Batch:  25/400: Loss: 0.70 | Accuracy: 0.56
[Training] Itteration/Batch:  50/400: Loss: 0.65 | Accuracy: 0.44
[Training] Itteration/Batch:  75/400: Loss: 0.83 | Accuracy: 0.44
[Training] Itteration/Batch: 100/400: Loss: 0.64 | Accuracy: 0.69
[Training] Itteration/Batch: 125/400: Loss: 0.40 | Accuracy: 0.94
[Training] Itteration/Batch: 150/400: Loss: 0.59 | Accuracy: 0.69
[Training] Itteration/Batch: 175/400: Loss: 0.38 | Accuracy: 0.88
[Training] Itteration/Batch: 200/400: Loss: 0.64 | Accuracy: 0.56
[Training] Itteration/Batch: 225/400: Loss: 0.45 | Accuracy: 0.75
[Training] Itteration/Batch: 250/400: Loss: 0.71 | Accuracy: 0.62
[Training] Itteration/Batch: 275/400: Loss: 0.54 | Accuracy: 0.81
[Training] Itteration/Batch: 300/400: Loss: 0.48 | Accuracy: 0.88
[Training] Itteration/Batch: 325/400: Loss: 0.54 | Accuracy: 0.75
[Training] Itteration/Batch: 350/400: Loss: 0.58 | Accuracy: 0.75
[Training] Itteration/Batch: 375/400: Loss: 0.48 | Accuracy: 0.88

Epoch 1: Val Bin. F1 Majority 0.6954619884490967 | Val Macro F1 Majority 0.7332632652405406 |             Val Bin F1 Individual 0.6410707831382751 | Val Macro F1 Individual 0.6947950246652621 |             Val Accuracy Majority 0.7386203408241272 | Val Accuracy Individual 0.7042519450187683 | Training Loss:0.5762907862663269 |             Val Loss 0.498323917388916 | Train Runtime Millis 29914.336295999874 | Val Runtime Millis 5091.854713999965

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/400: Loss: 0.36 | Accuracy: 0.81
[Training] Itteration/Batch:  25/400: Loss: 0.44 | Accuracy: 0.69
[Training] Itteration/Batch:  50/400: Loss: 0.46 | Accuracy: 0.75
[Training] Itteration/Batch:  75/400: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch: 100/400: Loss: 0.26 | Accuracy: 0.88
[Training] Itteration/Batch: 125/400: Loss: 0.56 | Accuracy: 0.75
[Training] Itteration/Batch: 150/400: Loss: 0.59 | Accuracy: 0.81
[Training] Itteration/Batch: 175/400: Loss: 0.45 | Accuracy: 0.62
[Training] Itteration/Batch: 200/400: Loss: 0.59 | Accuracy: 0.81
[Training] Itteration/Batch: 225/400: Loss: 0.58 | Accuracy: 0.69
[Training] Itteration/Batch: 250/400: Loss: 0.28 | Accuracy: 0.94
[Training] Itteration/Batch: 275/400: Loss: 0.64 | Accuracy: 0.69
[Training] Itteration/Batch: 300/400: Loss: 0.31 | Accuracy: 0.94
[Training] Itteration/Batch: 325/400: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 350/400: Loss: 0.30 | Accuracy: 0.88
[Training] Itteration/Batch: 375/400: Loss: 0.49 | Accuracy: 0.88

Epoch 2: Val Bin. F1 Majority 0.7240773439407349 | Val Macro F1 Majority 0.7698664529730808 |             Val Bin F1 Individual 0.6649026870727539 | Val Macro F1 Individual 0.7280466686897025 |             Val Accuracy Majority 0.7789769768714905 | Val Accuracy Individual 0.7427079081535339 | Training Loss:0.41144999861717224 |             Val Loss 0.4986426532268524 | Train Runtime Millis 29502.322509999885 | Val Runtime Millis 5069.836652000049

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/400: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch:  25/400: Loss: 0.42 | Accuracy: 0.81
[Training] Itteration/Batch:  50/400: Loss: 0.38 | Accuracy: 0.81
[Training] Itteration/Batch:  75/400: Loss: 0.37 | Accuracy: 0.81
[Training] Itteration/Batch: 100/400: Loss: 0.22 | Accuracy: 0.94
[Training] Itteration/Batch: 125/400: Loss: 0.41 | Accuracy: 0.88
[Training] Itteration/Batch: 150/400: Loss: 0.26 | Accuracy: 0.88
[Training] Itteration/Batch: 175/400: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 200/400: Loss: 0.37 | Accuracy: 0.81
[Training] Itteration/Batch: 225/400: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 250/400: Loss: 0.29 | Accuracy: 0.88
[Training] Itteration/Batch: 275/400: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 300/400: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 325/400: Loss: 0.25 | Accuracy: 0.81
[Training] Itteration/Batch: 350/400: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 375/400: Loss: 0.11 | Accuracy: 0.94

Epoch 3: Val Bin. F1 Majority 0.6908442378044128 | Val Macro F1 Majority 0.7446469227294933 |             Val Bin F1 Individual 0.6455188393592834 | Val Macro F1 Individual 0.7142671901150452 |             Val Accuracy Majority 0.7559831142425537 | Val Accuracy Individual 0.7308083176612854 | Training Loss:0.2393961399793625 |             Val Loss 0.5843279361724854 | Train Runtime Millis 29500.90685999976 | Val Runtime Millis 5056.190400000105

