______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1053: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch:  25/1053: Loss: 0.77 | Accuracy: 0.94
[Training] Itteration/Batch:  50/1053: Loss: 0.82 | Accuracy: 0.94
[Training] Itteration/Batch:  75/1053: Loss: 0.81 | Accuracy: 0.94
[Training] Itteration/Batch: 100/1053: Loss: 0.78 | Accuracy: 0.94
[Training] Itteration/Batch: 125/1053: Loss: 0.86 | Accuracy: 0.94
[Training] Itteration/Batch: 150/1053: Loss: 0.73 | Accuracy: 0.94
[Training] Itteration/Batch: 175/1053: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 200/1053: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 225/1053: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch: 250/1053: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 275/1053: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 300/1053: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 325/1053: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 350/1053: Loss: 0.49 | Accuracy: 0.94
[Training] Itteration/Batch: 375/1053: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1053: Loss: 0.22 | Accuracy: 0.94
[Training] Itteration/Batch: 425/1053: Loss: 0.64 | Accuracy: 0.94
[Training] Itteration/Batch: 450/1053: Loss: 0.62 | Accuracy: 0.81
[Training] Itteration/Batch: 475/1053: Loss: 0.23 | Accuracy: 0.88
[Training] Itteration/Batch: 500/1053: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 525/1053: Loss: 0.90 | Accuracy: 0.88
[Training] Itteration/Batch: 550/1053: Loss: 0.44 | Accuracy: 0.81
[Training] Itteration/Batch: 575/1053: Loss: 0.23 | Accuracy: 0.94
[Training] Itteration/Batch: 600/1053: Loss: 0.60 | Accuracy: 0.94
[Training] Itteration/Batch: 625/1053: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 650/1053: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 675/1053: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 700/1053: Loss: 0.45 | Accuracy: 0.94
[Training] Itteration/Batch: 725/1053: Loss: 0.25 | Accuracy: 0.88
[Training] Itteration/Batch: 750/1053: Loss: 0.62 | Accuracy: 0.94
[Training] Itteration/Batch: 775/1053: Loss: 0.32 | Accuracy: 0.88
[Training] Itteration/Batch: 800/1053: Loss: 0.45 | Accuracy: 0.94
[Training] Itteration/Batch: 825/1053: Loss: 0.35 | Accuracy: 0.94
[Training] Itteration/Batch: 850/1053: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 875/1053: Loss: 0.34 | Accuracy: 0.94
[Training] Itteration/Batch: 900/1053: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 925/1053: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 950/1053: Loss: 0.56 | Accuracy: 0.94
[Training] Itteration/Batch: 975/1053: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 1000/1053: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/1053: Loss: 0.69 | Accuracy: 0.75
