______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/776: Loss: 0.90 | Accuracy: 0.48
[Training] Itteration/Batch:  25/776: Loss: 0.96 | Accuracy: 0.62
[Training] Itteration/Batch:  50/776: Loss: 0.72 | Accuracy: 0.79
[Training] Itteration/Batch:  75/776: Loss: 1.27 | Accuracy: 0.82
[Training] Itteration/Batch: 100/776: Loss: 0.85 | Accuracy: 0.79
[Training] Itteration/Batch: 125/776: Loss: 0.76 | Accuracy: 0.97
[Training] Itteration/Batch: 150/776: Loss: 1.21 | Accuracy: 0.92
[Training] Itteration/Batch: 175/776: Loss: 0.72 | Accuracy: 1.00
[Training] Itteration/Batch: 200/776: Loss: 0.52 | Accuracy: 0.95
[Training] Itteration/Batch: 225/776: Loss: 0.62 | Accuracy: 1.00
[Training] Itteration/Batch: 250/776: Loss: 1.01 | Accuracy: 0.93
[Training] Itteration/Batch: 275/776: Loss: 0.62 | Accuracy: 0.96
[Training] Itteration/Batch: 300/776: Loss: 0.61 | Accuracy: 1.00
[Training] Itteration/Batch: 325/776: Loss: 0.57 | Accuracy: 1.00
[Training] Itteration/Batch: 350/776: Loss: 0.53 | Accuracy: 1.00
[Training] Itteration/Batch: 375/776: Loss: 0.63 | Accuracy: 1.00
[Training] Itteration/Batch: 400/776: Loss: 0.68 | Accuracy: 1.00
[Training] Itteration/Batch: 425/776: Loss: 1.93 | Accuracy: 0.96
[Training] Itteration/Batch: 450/776: Loss: 0.45 | Accuracy: 1.00
[Training] Itteration/Batch: 475/776: Loss: 0.60 | Accuracy: 1.00
[Training] Itteration/Batch: 500/776: Loss: 1.05 | Accuracy: 0.97
[Training] Itteration/Batch: 525/776: Loss: 0.54 | Accuracy: 1.00
[Training] Itteration/Batch: 550/776: Loss: 3.61 | Accuracy: 0.88
[Training] Itteration/Batch: 575/776: Loss: 0.53 | Accuracy: 1.00
[Training] Itteration/Batch: 600/776: Loss: 0.59 | Accuracy: 1.00
[Training] Itteration/Batch: 625/776: Loss: 0.93 | Accuracy: 0.96
[Training] Itteration/Batch: 650/776: Loss: 0.47 | Accuracy: 1.00
[Training] Itteration/Batch: 675/776: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 700/776: Loss: 0.50 | Accuracy: 1.00
[Training] Itteration/Batch: 725/776: Loss: 0.48 | Accuracy: 1.00
[Training] Itteration/Batch: 750/776: Loss: 0.50 | Accuracy: 1.00
[Training] Itteration/Batch: 775/776: Loss: 0.67 | Accuracy: 1.00

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 0.4961514778325123 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 0.4969245053095805 |             Val Accuracy Majority 0.9847235083580017 | Val Accuracy Individual 0.9877732396125793 | Training Loss:0.9789256453514099 |             Val Loss 0.8771543502807617 | Train Runtime Millis 57179.48283581063 | Val Runtime Millis 21782.72776119411

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/776: Loss: 0.53 | Accuracy: 1.00
[Training] Itteration/Batch:  25/776: Loss: 0.50 | Accuracy: 1.00
[Training] Itteration/Batch:  50/776: Loss: 2.39 | Accuracy: 0.93
[Training] Itteration/Batch:  75/776: Loss: 0.49 | Accuracy: 1.00
[Training] Itteration/Batch: 100/776: Loss: 0.42 | Accuracy: 1.00
[Training] Itteration/Batch: 125/776: Loss: 0.53 | Accuracy: 1.00
[Training] Itteration/Batch: 150/776: Loss: 1.78 | Accuracy: 0.97
[Training] Itteration/Batch: 175/776: Loss: 1.71 | Accuracy: 0.96
[Training] Itteration/Batch: 200/776: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch: 225/776: Loss: 1.39 | Accuracy: 0.96
[Training] Itteration/Batch: 250/776: Loss: 1.53 | Accuracy: 0.96
[Training] Itteration/Batch: 275/776: Loss: 1.38 | Accuracy: 0.97
[Training] Itteration/Batch: 300/776: Loss: 1.11 | Accuracy: 0.96
[Training] Itteration/Batch: 325/776: Loss: 1.03 | Accuracy: 0.96
[Training] Itteration/Batch: 350/776: Loss: 0.34 | Accuracy: 1.00
[Training] Itteration/Batch: 375/776: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch: 400/776: Loss: 1.56 | Accuracy: 0.96
[Training] Itteration/Batch: 425/776: Loss: 0.94 | Accuracy: 0.96
[Training] Itteration/Batch: 450/776: Loss: 0.42 | Accuracy: 1.00
[Training] Itteration/Batch: 475/776: Loss: 0.38 | Accuracy: 1.00
[Training] Itteration/Batch: 500/776: Loss: 0.42 | Accuracy: 1.00
[Training] Itteration/Batch: 525/776: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch: 550/776: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch: 575/776: Loss: 2.23 | Accuracy: 0.93
[Training] Itteration/Batch: 600/776: Loss: 0.46 | Accuracy: 1.00
[Training] Itteration/Batch: 625/776: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch: 650/776: Loss: 0.38 | Accuracy: 1.00
[Training] Itteration/Batch: 675/776: Loss: 0.33 | Accuracy: 1.00
[Training] Itteration/Batch: 700/776: Loss: 0.36 | Accuracy: 1.00
[Training] Itteration/Batch: 725/776: Loss: 0.79 | Accuracy: 0.96
[Training] Itteration/Batch: 750/776: Loss: 0.42 | Accuracy: 0.96
[Training] Itteration/Batch: 775/776: Loss: 10.38 | Accuracy: 0.83

