______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/378: Loss: 0.65 | Accuracy: 0.69
[Training] Itteration/Batch:  25/378: Loss: 0.74 | Accuracy: 0.44
[Training] Itteration/Batch:  50/378: Loss: 0.58 | Accuracy: 0.75
[Training] Itteration/Batch:  75/378: Loss: 0.74 | Accuracy: 0.56
[Training] Itteration/Batch: 100/378: Loss: 0.61 | Accuracy: 0.62
[Training] Itteration/Batch: 125/378: Loss: 0.74 | Accuracy: 0.69
[Training] Itteration/Batch: 150/378: Loss: 0.58 | Accuracy: 0.62
[Training] Itteration/Batch: 175/378: Loss: 0.51 | Accuracy: 0.81
[Training] Itteration/Batch: 200/378: Loss: 0.48 | Accuracy: 0.69
[Training] Itteration/Batch: 225/378: Loss: 0.54 | Accuracy: 0.69
[Training] Itteration/Batch: 250/378: Loss: 0.48 | Accuracy: 0.88
[Training] Itteration/Batch: 275/378: Loss: 0.62 | Accuracy: 0.69
[Training] Itteration/Batch: 300/378: Loss: 0.83 | Accuracy: 0.50
[Training] Itteration/Batch: 325/378: Loss: 0.55 | Accuracy: 0.69
[Training] Itteration/Batch: 350/378: Loss: 0.76 | Accuracy: 0.56
[Training] Itteration/Batch: 375/378: Loss: 0.43 | Accuracy: 0.81

Epoch 1: Val Bin. F1 Majority 0.703420102596283 | Val Macro F1 Majority 0.7113040629176514 |             Val Bin F1 Individual 0.653427004814148 | Val Macro F1 Individual 0.6826627550991302 |             Val Accuracy Majority 0.7115193605422974 | Val Accuracy Individual 0.6853561997413635 | Training Loss:0.5801140666007996 |             Val Loss 0.5353864431381226 | Train Runtime Millis 29704.839521000395 | Val Runtime Millis 4073.6522800002604

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/378: Loss: 0.48 | Accuracy: 0.81
[Training] Itteration/Batch:  25/378: Loss: 0.32 | Accuracy: 0.88
[Training] Itteration/Batch:  50/378: Loss: 0.38 | Accuracy: 0.81
[Training] Itteration/Batch:  75/378: Loss: 0.63 | Accuracy: 0.81
[Training] Itteration/Batch: 100/378: Loss: 0.54 | Accuracy: 0.75
[Training] Itteration/Batch: 125/378: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 150/378: Loss: 0.64 | Accuracy: 0.69
[Training] Itteration/Batch: 175/378: Loss: 0.34 | Accuracy: 0.88
[Training] Itteration/Batch: 200/378: Loss: 0.31 | Accuracy: 0.94
[Training] Itteration/Batch: 225/378: Loss: 0.47 | Accuracy: 0.81
[Training] Itteration/Batch: 250/378: Loss: 0.44 | Accuracy: 0.81
[Training] Itteration/Batch: 275/378: Loss: 0.48 | Accuracy: 0.75
[Training] Itteration/Batch: 300/378: Loss: 0.33 | Accuracy: 0.88
[Training] Itteration/Batch: 325/378: Loss: 0.47 | Accuracy: 0.88
[Training] Itteration/Batch: 350/378: Loss: 0.66 | Accuracy: 0.62
[Training] Itteration/Batch: 375/378: Loss: 0.22 | Accuracy: 1.00

Epoch 2: Val Bin. F1 Majority 0.6558441519737244 | Val Macro F1 Majority 0.7214108239027854 |             Val Bin F1 Individual 0.636278510093689 | Val Macro F1 Individual 0.7192931558786496 |             Val Accuracy Majority 0.7368420958518982 | Val Accuracy Individual 0.7438434362411499 | Training Loss:0.44101396203041077 |             Val Loss 0.6444076299667358 | Train Runtime Millis 29285.518250000223 | Val Runtime Millis 4112.887339000281

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/378: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch:  25/378: Loss: 0.26 | Accuracy: 0.88
[Training] Itteration/Batch:  50/378: Loss: 0.39 | Accuracy: 0.88
[Training] Itteration/Batch:  75/378: Loss: 0.66 | Accuracy: 0.69
[Training] Itteration/Batch: 100/378: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 125/378: Loss: 0.28 | Accuracy: 0.94
[Training] Itteration/Batch: 150/378: Loss: 0.27 | Accuracy: 0.94
[Training] Itteration/Batch: 175/378: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 200/378: Loss: 0.37 | Accuracy: 0.81
[Training] Itteration/Batch: 225/378: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 250/378: Loss: 0.37 | Accuracy: 0.81
[Training] Itteration/Batch: 275/378: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 300/378: Loss: 0.38 | Accuracy: 0.88
[Training] Itteration/Batch: 325/378: Loss: 0.30 | Accuracy: 0.94
[Training] Itteration/Batch: 350/378: Loss: 0.31 | Accuracy: 0.81
[Training] Itteration/Batch: 375/378: Loss: 0.41 | Accuracy: 0.88

Epoch 3: Val Bin. F1 Majority 0.6487179398536682 | Val Macro F1 Majority 0.7133379046669159 |             Val Bin F1 Individual 0.6276202201843262 | Val Macro F1 Individual 0.7105975340773185 |             Val Accuracy Majority 0.7279046773910522 | Val Accuracy Individual 0.7343887686729431 | Training Loss:0.27934473752975464 |             Val Loss 0.7337742447853088 | Train Runtime Millis 29337.953280999955 | Val Runtime Millis 4107.89272799957

