______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/397: Loss: 0.68 | Accuracy: 0.69
[Training] Itteration/Batch:  25/397: Loss: 0.66 | Accuracy: 0.69
[Training] Itteration/Batch:  50/397: Loss: 0.64 | Accuracy: 0.75
[Training] Itteration/Batch:  75/397: Loss: 0.63 | Accuracy: 0.56
[Training] Itteration/Batch: 100/397: Loss: 0.38 | Accuracy: 1.00
[Training] Itteration/Batch: 125/397: Loss: 0.53 | Accuracy: 0.75
[Training] Itteration/Batch: 150/397: Loss: 0.50 | Accuracy: 0.81
[Training] Itteration/Batch: 175/397: Loss: 0.71 | Accuracy: 0.44
[Training] Itteration/Batch: 200/397: Loss: 0.69 | Accuracy: 0.62
[Training] Itteration/Batch: 225/397: Loss: 0.43 | Accuracy: 0.88
[Training] Itteration/Batch: 250/397: Loss: 0.46 | Accuracy: 0.81
[Training] Itteration/Batch: 275/397: Loss: 0.62 | Accuracy: 0.56
[Training] Itteration/Batch: 300/397: Loss: 0.65 | Accuracy: 0.69
[Training] Itteration/Batch: 325/397: Loss: 0.63 | Accuracy: 0.69
[Training] Itteration/Batch: 350/397: Loss: 0.52 | Accuracy: 0.75
[Training] Itteration/Batch: 375/397: Loss: 0.51 | Accuracy: 0.81

Epoch 1: Val Bin. F1 Majority 0.7084148526191711 | Val Macro F1 Majority 0.7181343770384867 |             Val Bin F1 Individual 0.65557461977005 | Val Macro F1 Individual 0.6798356418395456 |             Val Accuracy Majority 0.7184695601463318 | Val Accuracy Individual 0.681674063205719 | Training Loss:0.5665577054023743 |             Val Loss 0.5042455196380615 | Train Runtime Millis 29436.323853999966 | Val Runtime Millis 4788.219574999857

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/397: Loss: 0.68 | Accuracy: 0.75
[Training] Itteration/Batch:  25/397: Loss: 0.44 | Accuracy: 0.81
[Training] Itteration/Batch:  50/397: Loss: 0.41 | Accuracy: 0.81
[Training] Itteration/Batch:  75/397: Loss: 0.60 | Accuracy: 0.75
[Training] Itteration/Batch: 100/397: Loss: 0.47 | Accuracy: 0.75
[Training] Itteration/Batch: 125/397: Loss: 0.56 | Accuracy: 0.88
[Training] Itteration/Batch: 150/397: Loss: 0.40 | Accuracy: 0.81
[Training] Itteration/Batch: 175/397: Loss: 0.29 | Accuracy: 0.88
[Training] Itteration/Batch: 200/397: Loss: 0.68 | Accuracy: 0.69
[Training] Itteration/Batch: 225/397: Loss: 0.33 | Accuracy: 0.75
[Training] Itteration/Batch: 250/397: Loss: 0.29 | Accuracy: 0.94
[Training] Itteration/Batch: 275/397: Loss: 0.35 | Accuracy: 0.81
[Training] Itteration/Batch: 300/397: Loss: 0.51 | Accuracy: 0.69
[Training] Itteration/Batch: 325/397: Loss: 0.31 | Accuracy: 0.88
[Training] Itteration/Batch: 350/397: Loss: 0.40 | Accuracy: 0.75
[Training] Itteration/Batch: 375/397: Loss: 0.72 | Accuracy: 0.62

Epoch 2: Val Bin. F1 Majority 0.6873417496681213 | Val Macro F1 Majority 0.7506038175002145 |             Val Bin F1 Individual 0.644385039806366 | Val Macro F1 Individual 0.7240133795107162 |             Val Accuracy Majority 0.766650915145874 | Val Accuracy Individual 0.7469879388809204 | Training Loss:0.3944929242134094 |             Val Loss 0.5009617209434509 | Train Runtime Millis 28921.181436000097 | Val Runtime Millis 4788.7203190002765

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/397: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch:  25/397: Loss: 0.26 | Accuracy: 0.94
[Training] Itteration/Batch:  50/397: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch:  75/397: Loss: 0.41 | Accuracy: 0.81
[Training] Itteration/Batch: 100/397: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 125/397: Loss: 0.21 | Accuracy: 0.88
[Training] Itteration/Batch: 150/397: Loss: 0.23 | Accuracy: 0.88
[Training] Itteration/Batch: 175/397: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 200/397: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 225/397: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 250/397: Loss: 0.34 | Accuracy: 0.88
[Training] Itteration/Batch: 275/397: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 300/397: Loss: 0.30 | Accuracy: 0.88
[Training] Itteration/Batch: 325/397: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 350/397: Loss: 0.16 | Accuracy: 0.88
[Training] Itteration/Batch: 375/397: Loss: 0.24 | Accuracy: 0.94

Epoch 3: Val Bin. F1 Majority 0.6876155138015747 | Val Macro F1 Majority 0.746718525561201 |             Val Bin F1 Individual 0.6464208364486694 | Val Macro F1 Individual 0.7214117611357642 |             Val Accuracy Majority 0.7605101466178894 | Val Accuracy Individual 0.7415979504585266 | Training Loss:0.23760774731636047 |             Val Loss 0.5953297019004822 | Train Runtime Millis 29067.15436100012 | Val Runtime Millis 4789.595214000201

