______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/612: Loss: 0.84 | Accuracy: 0.50
[Training] Itteration/Batch:  25/612: Loss: 0.56 | Accuracy: 0.88
[Training] Itteration/Batch:  50/612: Loss: 0.58 | Accuracy: 0.81
[Training] Itteration/Batch:  75/612: Loss: 0.62 | Accuracy: 0.75
[Training] Itteration/Batch: 100/612: Loss: 0.76 | Accuracy: 0.56
[Training] Itteration/Batch: 125/612: Loss: 0.68 | Accuracy: 0.69
[Training] Itteration/Batch: 150/612: Loss: 0.72 | Accuracy: 0.62
[Training] Itteration/Batch: 175/612: Loss: 0.64 | Accuracy: 0.75
[Training] Itteration/Batch: 200/612: Loss: 0.67 | Accuracy: 0.75
[Training] Itteration/Batch: 225/612: Loss: 0.76 | Accuracy: 0.62
[Training] Itteration/Batch: 250/612: Loss: 0.66 | Accuracy: 0.75
[Training] Itteration/Batch: 275/612: Loss: 0.45 | Accuracy: 0.94
[Training] Itteration/Batch: 300/612: Loss: 0.62 | Accuracy: 0.75
[Training] Itteration/Batch: 325/612: Loss: 0.52 | Accuracy: 0.88
[Training] Itteration/Batch: 350/612: Loss: 0.38 | Accuracy: 0.94
[Training] Itteration/Batch: 375/612: Loss: 0.79 | Accuracy: 0.69
[Training] Itteration/Batch: 400/612: Loss: 0.61 | Accuracy: 0.75
[Training] Itteration/Batch: 425/612: Loss: 0.55 | Accuracy: 0.81
[Training] Itteration/Batch: 450/612: Loss: 0.75 | Accuracy: 0.62
[Training] Itteration/Batch: 475/612: Loss: 0.75 | Accuracy: 0.56
[Training] Itteration/Batch: 500/612: Loss: 0.57 | Accuracy: 0.75
[Training] Itteration/Batch: 525/612: Loss: 0.67 | Accuracy: 0.62
[Training] Itteration/Batch: 550/612: Loss: 0.56 | Accuracy: 0.62
[Training] Itteration/Batch: 575/612: Loss: 0.63 | Accuracy: 0.69
[Training] Itteration/Batch: 600/612: Loss: 0.78 | Accuracy: 0.50

Epoch 1: Val Bin. F1 Majority 0.24665676057338715 | Val Macro F1 Majority 0.5269038843802439 |             Val Bin F1 Individual 0.32692307233810425 | Val Macro F1 Individual 0.5666248696429458 |             Val Accuracy Majority 0.6929134130477905 | Val Accuracy Individual 0.6992050409317017 | Training Loss:0.666263997554779 |             Val Loss 0.6516249775886536 | Train Runtime Millis 68229.33493403252 | Val Runtime Millis 15765.532440971583

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/612: Loss: 0.70 | Accuracy: 0.69
[Training] Itteration/Batch:  25/612: Loss: 0.52 | Accuracy: 0.75
[Training] Itteration/Batch:  50/612: Loss: 0.43 | Accuracy: 0.75
[Training] Itteration/Batch:  75/612: Loss: 0.65 | Accuracy: 0.69
[Training] Itteration/Batch: 100/612: Loss: 0.89 | Accuracy: 0.44
[Training] Itteration/Batch: 125/612: Loss: 0.67 | Accuracy: 0.56
[Training] Itteration/Batch: 150/612: Loss: 0.90 | Accuracy: 0.62
[Training] Itteration/Batch: 175/612: Loss: 0.62 | Accuracy: 0.75
[Training] Itteration/Batch: 200/612: Loss: 0.71 | Accuracy: 0.50
[Training] Itteration/Batch: 225/612: Loss: 0.64 | Accuracy: 0.69
[Training] Itteration/Batch: 250/612: Loss: 0.47 | Accuracy: 0.81
[Training] Itteration/Batch: 275/612: Loss: 0.74 | Accuracy: 0.69
[Training] Itteration/Batch: 300/612: Loss: 0.45 | Accuracy: 0.62
[Training] Itteration/Batch: 325/612: Loss: 0.83 | Accuracy: 0.62
[Training] Itteration/Batch: 350/612: Loss: 0.63 | Accuracy: 0.56
[Training] Itteration/Batch: 375/612: Loss: 0.55 | Accuracy: 0.88
[Training] Itteration/Batch: 400/612: Loss: 0.60 | Accuracy: 0.56
[Training] Itteration/Batch: 425/612: Loss: 0.70 | Accuracy: 0.62
[Training] Itteration/Batch: 450/612: Loss: 0.89 | Accuracy: 0.50
[Training] Itteration/Batch: 475/612: Loss: 0.57 | Accuracy: 0.81
[Training] Itteration/Batch: 500/612: Loss: 1.07 | Accuracy: 0.38
[Training] Itteration/Batch: 525/612: Loss: 0.76 | Accuracy: 0.44
[Training] Itteration/Batch: 550/612: Loss: 0.59 | Accuracy: 0.88
[Training] Itteration/Batch: 575/612: Loss: 0.59 | Accuracy: 0.69
[Training] Itteration/Batch: 600/612: Loss: 0.81 | Accuracy: 0.50

Epoch 2: Val Bin. F1 Majority 0.42053788900375366 | Val Macro F1 Majority 0.5803062375343969 |             Val Bin F1 Individual 0.42619311809539795 | Val Macro F1 Individual 0.576439760900989 |             Val Accuracy Majority 0.6411265730857849 | Val Accuracy Individual 0.6297357082366943 | Training Loss:0.6315562725067139 |             Val Loss 0.6562460064888 | Train Runtime Millis 67415.01542896731 | Val Runtime Millis 15561.467538005672

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/612: Loss: 0.71 | Accuracy: 0.56
[Training] Itteration/Batch:  25/612: Loss: 0.46 | Accuracy: 0.81
[Training] Itteration/Batch:  50/612: Loss: 0.54 | Accuracy: 0.69
[Training] Itteration/Batch:  75/612: Loss: 0.35 | Accuracy: 0.94
[Training] Itteration/Batch: 100/612: Loss: 0.39 | Accuracy: 0.88
[Training] Itteration/Batch: 125/612: Loss: 0.44 | Accuracy: 0.81
[Training] Itteration/Batch: 150/612: Loss: 0.49 | Accuracy: 0.88
[Training] Itteration/Batch: 175/612: Loss: 0.32 | Accuracy: 0.88
[Training] Itteration/Batch: 200/612: Loss: 0.57 | Accuracy: 0.75
[Training] Itteration/Batch: 225/612: Loss: 0.48 | Accuracy: 0.75
[Training] Itteration/Batch: 250/612: Loss: 0.55 | Accuracy: 0.75
[Training] Itteration/Batch: 275/612: Loss: 0.72 | Accuracy: 0.50
[Training] Itteration/Batch: 300/612: Loss: 0.38 | Accuracy: 0.81
[Training] Itteration/Batch: 325/612: Loss: 0.69 | Accuracy: 0.69
[Training] Itteration/Batch: 350/612: Loss: 0.45 | Accuracy: 0.75
[Training] Itteration/Batch: 375/612: Loss: 0.37 | Accuracy: 0.88
[Training] Itteration/Batch: 400/612: Loss: 0.53 | Accuracy: 0.69
