______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/387: Loss: 0.73 | Accuracy: 0.38
[Training] Itteration/Batch:  25/387: Loss: 0.68 | Accuracy: 0.62
[Training] Itteration/Batch:  50/387: Loss: 0.54 | Accuracy: 0.75
[Training] Itteration/Batch:  75/387: Loss: 0.63 | Accuracy: 0.56
[Training] Itteration/Batch: 100/387: Loss: 0.52 | Accuracy: 0.69
[Training] Itteration/Batch: 125/387: Loss: 0.52 | Accuracy: 0.81
[Training] Itteration/Batch: 150/387: Loss: 0.65 | Accuracy: 0.69
[Training] Itteration/Batch: 175/387: Loss: 0.70 | Accuracy: 0.69
[Training] Itteration/Batch: 200/387: Loss: 0.56 | Accuracy: 0.69
[Training] Itteration/Batch: 225/387: Loss: 0.47 | Accuracy: 0.75
[Training] Itteration/Batch: 250/387: Loss: 0.42 | Accuracy: 0.88
[Training] Itteration/Batch: 275/387: Loss: 0.43 | Accuracy: 0.81
[Training] Itteration/Batch: 300/387: Loss: 0.47 | Accuracy: 0.75
[Training] Itteration/Batch: 325/387: Loss: 0.55 | Accuracy: 0.69
[Training] Itteration/Batch: 350/387: Loss: 0.60 | Accuracy: 0.75
[Training] Itteration/Batch: 375/387: Loss: 0.43 | Accuracy: 0.88

Epoch 1: Val Bin. F1 Majority 0.7020785212516785 | Val Macro F1 Majority 0.743359795193683 |             Val Bin F1 Individual 0.6509458422660828 | Val Macro F1 Individual 0.7164394090324038 |             Val Accuracy Majority 0.75 | Val Accuracy Individual 0.7315663695335388 | Training Loss:0.5678567886352539 |             Val Loss 0.5157422423362732 | Train Runtime Millis 25525.74381300019 | Val Runtime Millis 3880.6487030001335

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/387: Loss: 0.68 | Accuracy: 0.75
[Training] Itteration/Batch:  25/387: Loss: 0.70 | Accuracy: 0.75
[Training] Itteration/Batch:  50/387: Loss: 0.50 | Accuracy: 0.88
[Training] Itteration/Batch:  75/387: Loss: 0.56 | Accuracy: 0.69
[Training] Itteration/Batch: 100/387: Loss: 0.56 | Accuracy: 0.75
[Training] Itteration/Batch: 125/387: Loss: 0.37 | Accuracy: 0.94
[Training] Itteration/Batch: 150/387: Loss: 0.45 | Accuracy: 0.75
[Training] Itteration/Batch: 175/387: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch: 200/387: Loss: 0.47 | Accuracy: 0.81
[Training] Itteration/Batch: 225/387: Loss: 0.61 | Accuracy: 0.69
[Training] Itteration/Batch: 250/387: Loss: 0.59 | Accuracy: 0.75
[Training] Itteration/Batch: 275/387: Loss: 0.62 | Accuracy: 0.81
[Training] Itteration/Batch: 300/387: Loss: 0.35 | Accuracy: 0.88
[Training] Itteration/Batch: 325/387: Loss: 0.78 | Accuracy: 0.62
[Training] Itteration/Batch: 350/387: Loss: 0.38 | Accuracy: 0.88
[Training] Itteration/Batch: 375/387: Loss: 0.23 | Accuracy: 0.81

Epoch 2: Val Bin. F1 Majority 0.6376021504402161 | Val Macro F1 Majority 0.7188010899182562 |             Val Bin F1 Individual 0.6096883416175842 | Val Macro F1 Individual 0.7117610345193199 |             Val Accuracy Majority 0.7422480583190918 | Val Accuracy Individual 0.7479075193405151 | Training Loss:0.3977000415325165 |             Val Loss 0.52777498960495 | Train Runtime Millis 25046.98257300015 | Val Runtime Millis 3891.543721999824

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/387: Loss: 0.36 | Accuracy: 0.81
[Training] Itteration/Batch:  25/387: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch:  50/387: Loss: 0.15 | Accuracy: 0.88
[Training] Itteration/Batch:  75/387: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 100/387: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 125/387: Loss: 0.35 | Accuracy: 0.81
[Training] Itteration/Batch: 150/387: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 175/387: Loss: 0.23 | Accuracy: 0.88
[Training] Itteration/Batch: 200/387: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 225/387: Loss: 0.16 | Accuracy: 0.88
[Training] Itteration/Batch: 250/387: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 275/387: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 300/387: Loss: 0.36 | Accuracy: 0.81
[Training] Itteration/Batch: 325/387: Loss: 0.25 | Accuracy: 0.88
[Training] Itteration/Batch: 350/387: Loss: 0.16 | Accuracy: 0.88
[Training] Itteration/Batch: 375/387: Loss: 0.25 | Accuracy: 0.94

Epoch 3: Val Bin. F1 Majority 0.6751207709312439 | Val Macro F1 Majority 0.7287416162468927 |             Val Bin F1 Individual 0.6373268365859985 | Val Macro F1 Individual 0.713628001490205 |             Val Accuracy Majority 0.7393410801887512 | Val Accuracy Individual 0.7339577674865723 | Training Loss:0.22660255432128906 |             Val Loss 0.630156397819519 | Train Runtime Millis 25126.81803700025 | Val Runtime Millis 4048.5627079997357

