______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/396: Loss: 0.82 | Accuracy: 0.31
[Training] Itteration/Batch:  25/396: Loss: 0.76 | Accuracy: 0.62
[Training] Itteration/Batch:  50/396: Loss: 0.53 | Accuracy: 0.75
[Training] Itteration/Batch:  75/396: Loss: 0.70 | Accuracy: 0.69
[Training] Itteration/Batch: 100/396: Loss: 0.62 | Accuracy: 0.69
[Training] Itteration/Batch: 125/396: Loss: 0.77 | Accuracy: 0.62
[Training] Itteration/Batch: 150/396: Loss: 0.53 | Accuracy: 0.75
[Training] Itteration/Batch: 175/396: Loss: 0.48 | Accuracy: 0.81
[Training] Itteration/Batch: 200/396: Loss: 0.58 | Accuracy: 0.62
[Training] Itteration/Batch: 225/396: Loss: 0.61 | Accuracy: 0.62
[Training] Itteration/Batch: 250/396: Loss: 0.42 | Accuracy: 0.75
[Training] Itteration/Batch: 275/396: Loss: 0.54 | Accuracy: 0.69
[Training] Itteration/Batch: 300/396: Loss: 0.33 | Accuracy: 0.94
[Training] Itteration/Batch: 325/396: Loss: 0.44 | Accuracy: 0.75
[Training] Itteration/Batch: 350/396: Loss: 0.48 | Accuracy: 0.81
[Training] Itteration/Batch: 375/396: Loss: 0.66 | Accuracy: 0.69

Epoch 1: Val Bin. F1 Majority 0.6136701107025146 | Val Macro F1 Majority 0.7165572890870067 |             Val Bin F1 Individual 0.5909214615821838 | Val Macro F1 Individual 0.7062702524761578 |             Val Accuracy Majority 0.753904402256012 | Val Accuracy Individual 0.7515681982040405 | Training Loss:0.5582837462425232 |             Val Loss 0.5341598987579346 | Train Runtime Millis 28786.880052000015 | Val Runtime Millis 4768.367302000115

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/396: Loss: 0.48 | Accuracy: 0.75
[Training] Itteration/Batch:  25/396: Loss: 0.32 | Accuracy: 0.88
[Training] Itteration/Batch:  50/396: Loss: 0.51 | Accuracy: 0.81
[Training] Itteration/Batch:  75/396: Loss: 0.35 | Accuracy: 0.88
[Training] Itteration/Batch: 100/396: Loss: 0.67 | Accuracy: 0.69
[Training] Itteration/Batch: 125/396: Loss: 0.61 | Accuracy: 0.69
[Training] Itteration/Batch: 150/396: Loss: 0.64 | Accuracy: 0.75
[Training] Itteration/Batch: 175/396: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 200/396: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch: 225/396: Loss: 0.42 | Accuracy: 0.81
[Training] Itteration/Batch: 250/396: Loss: 0.33 | Accuracy: 0.81
[Training] Itteration/Batch: 275/396: Loss: 0.38 | Accuracy: 0.75
[Training] Itteration/Batch: 300/396: Loss: 0.28 | Accuracy: 0.88
[Training] Itteration/Batch: 325/396: Loss: 0.54 | Accuracy: 0.81
[Training] Itteration/Batch: 350/396: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 375/396: Loss: 0.33 | Accuracy: 0.81

Epoch 2: Val Bin. F1 Majority 0.6909946799278259 | Val Macro F1 Majority 0.7416192350396762 |             Val Bin F1 Individual 0.6502988934516907 | Val Macro F1 Individual 0.7149503060598846 |             Val Accuracy Majority 0.751538097858429 | Val Accuracy Individual 0.729613721370697 | Training Loss:0.38358765840530396 |             Val Loss 0.5058053731918335 | Train Runtime Millis 28373.43460200009 | Val Runtime Millis 4796.0019580000335

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/396: Loss: 0.30 | Accuracy: 0.81
[Training] Itteration/Batch:  25/396: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch:  50/396: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch:  75/396: Loss: 0.29 | Accuracy: 0.81
[Training] Itteration/Batch: 100/396: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 125/396: Loss: 0.09 | Accuracy: 0.94
[Training] Itteration/Batch: 150/396: Loss: 0.27 | Accuracy: 0.94
[Training] Itteration/Batch: 175/396: Loss: 0.28 | Accuracy: 0.88
[Training] Itteration/Batch: 200/396: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch: 225/396: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 250/396: Loss: 0.16 | Accuracy: 0.88
[Training] Itteration/Batch: 275/396: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 300/396: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 325/396: Loss: 0.47 | Accuracy: 0.81
[Training] Itteration/Batch: 350/396: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 375/396: Loss: 0.24 | Accuracy: 0.94

Epoch 3: Val Bin. F1 Majority 0.6552179455757141 | Val Macro F1 Majority 0.731370044773851 |             Val Bin F1 Individual 0.6257253289222717 | Val Macro F1 Individual 0.7158701880426404 |             Val Accuracy Majority 0.7529578804969788 | Val Accuracy Individual 0.7444701194763184 | Training Loss:0.2019079178571701 |             Val Loss 0.7574500441551208 | Train Runtime Millis 28422.338820000277 | Val Runtime Millis 4761.280143000022

