______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/684: Loss: 3.64 | Accuracy: 0.52
[Training] Itteration/Batch:  25/684: Loss: 3.95 | Accuracy: 0.49
[Training] Itteration/Batch:  50/684: Loss: 4.70 | Accuracy: 0.49
[Training] Itteration/Batch:  75/684: Loss: 5.06 | Accuracy: 0.45
[Training] Itteration/Batch: 100/684: Loss: 2.03 | Accuracy: 0.50
[Training] Itteration/Batch: 125/684: Loss: 4.75 | Accuracy: 0.45
[Training] Itteration/Batch: 150/684: Loss: 6.24 | Accuracy: 0.48
[Training] Itteration/Batch: 175/684: Loss: 1.73 | Accuracy: 0.68
[Training] Itteration/Batch: 200/684: Loss: 4.36 | Accuracy: 0.58
[Training] Itteration/Batch: 225/684: Loss: 10.03 | Accuracy: 0.56
[Training] Itteration/Batch: 250/684: Loss: 2.56 | Accuracy: 0.56
[Training] Itteration/Batch: 275/684: Loss: 2.97 | Accuracy: 0.55
[Training] Itteration/Batch: 300/684: Loss: 4.56 | Accuracy: 0.56
[Training] Itteration/Batch: 325/684: Loss: 2.20 | Accuracy: 0.67
[Training] Itteration/Batch: 350/684: Loss: 2.50 | Accuracy: 0.60
[Training] Itteration/Batch: 375/684: Loss: 2.70 | Accuracy: 0.59
[Training] Itteration/Batch: 400/684: Loss: 2.49 | Accuracy: 0.58
[Training] Itteration/Batch: 425/684: Loss: 2.81 | Accuracy: 0.51
[Training] Itteration/Batch: 450/684: Loss: 2.36 | Accuracy: 0.56
[Training] Itteration/Batch: 475/684: Loss: 1.72 | Accuracy: 0.55
[Training] Itteration/Batch: 500/684: Loss: 5.65 | Accuracy: 0.61
[Training] Itteration/Batch: 525/684: Loss: 2.54 | Accuracy: 0.63
[Training] Itteration/Batch: 550/684: Loss: 2.59 | Accuracy: 0.56
[Training] Itteration/Batch: 575/684: Loss: 2.50 | Accuracy: 0.61
[Training] Itteration/Batch: 600/684: Loss: 2.86 | Accuracy: 0.57
[Training] Itteration/Batch: 625/684: Loss: 2.15 | Accuracy: 0.60
[Training] Itteration/Batch: 650/684: Loss: 2.35 | Accuracy: 0.69
[Training] Itteration/Batch: 675/684: Loss: 4.28 | Accuracy: 0.71

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 0.4178104053622726 |             Val Bin F1 Individual 0.3362916111946106 | Val Macro F1 Individual 0.5430786080575054 |             Val Accuracy Majority 0.7176535129547119 | Val Accuracy Individual 0.6366633176803589 | Training Loss:4.112398147583008 |             Val Loss 4.360613822937012 | Train Runtime Millis 1174056.7117140163 | Val Runtime Millis 272057.25425999844

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/684: Loss: 2.82 | Accuracy: 0.65
[Training] Itteration/Batch:  25/684: Loss: 1.91 | Accuracy: 0.71
[Training] Itteration/Batch:  50/684: Loss: 6.35 | Accuracy: 0.57
[Training] Itteration/Batch:  75/684: Loss: 2.65 | Accuracy: 0.66
[Training] Itteration/Batch: 100/684: Loss: 4.49 | Accuracy: 0.68
[Training] Itteration/Batch: 125/684: Loss: 2.90 | Accuracy: 0.69
[Training] Itteration/Batch: 150/684: Loss: 5.64 | Accuracy: 0.61
[Training] Itteration/Batch: 175/684: Loss: 1.47 | Accuracy: 0.83
[Training] Itteration/Batch: 200/684: Loss: 3.88 | Accuracy: 0.73
[Training] Itteration/Batch: 225/684: Loss: 3.24 | Accuracy: 0.81
[Training] Itteration/Batch: 250/684: Loss: 3.19 | Accuracy: 0.56
[Training] Itteration/Batch: 275/684: Loss: 3.01 | Accuracy: 0.66
[Training] Itteration/Batch: 300/684: Loss: 2.34 | Accuracy: 0.77
[Training] Itteration/Batch: 325/684: Loss: 2.68 | Accuracy: 0.63
[Training] Itteration/Batch: 350/684: Loss: 3.05 | Accuracy: 0.67
[Training] Itteration/Batch: 375/684: Loss: 4.52 | Accuracy: 0.74
[Training] Itteration/Batch: 400/684: Loss: 2.28 | Accuracy: 0.72
[Training] Itteration/Batch: 425/684: Loss: 3.87 | Accuracy: 0.81
[Training] Itteration/Batch: 450/684: Loss: 3.17 | Accuracy: 0.74
[Training] Itteration/Batch: 475/684: Loss: 5.15 | Accuracy: 0.76
