,dataset_name,ds_name,model,dataset_size,number_annotations,num_annos,f1_bin_maj,f1_macro_maj,f1_bin_indi,f1_macro_indi,test_acc_maj,test_acc_indi,mean_train_millis,mean_train_millis_per_annotation,mean_train_millis_per_sample,mean_eval_millis_per_annotation,mean_test_millis_per_annotation,sum_all_millis,annotations_per_anno,comment_percentage,learning_rate,fold
14,GHC-sbertbase,GHC,sbertbase,24366,74127,12,0.5233644859813084,0.7323381693427831,0.46611484738748066,0.6931964735199281,0.8954918032786885,0.861271676300578,93797.66485250021,1.265364372664484,3.8495306924608146,0.16012208656359744,,1066667.2951829988,,,,0
15,GHC-uid,GHC,uid,24366,74127,12,0.5442764578833693,0.748253239129595,0.6012854082361343,0.767870252543033,0.9135245901639344,0.8874176636644711,105094.05318369991,1.4177567307957952,4.313143445116142,0.16834444572288035,,1188328.1255039982,,,,0
16,GHC-comp,GHC,comp,27665,80972,14,0.5167173252279635,0.7346956008022941,0.4019721577726218,0.6653778727662585,0.9137899873486355,0.8727239059317327,101579.09985080005,1.2544966142716008,3.6717549196023875,0.16212412566442544,,1160607.6024079993,,,,0
17,GHC-compUid,GHC,compUid,27665,80972,14,0.5418994413407822,0.7463300249137859,0.5918556223970385,0.7645175547882628,0.9110789806614856,0.8911178322325782,111183.7457978996,1.3731134935273872,4.018931711472965,0.16989845537716763,,1262980.8910929968,,,,0
18,GHC-sbertbase,GHC,sbertbase,27665,80972,14,0.530739299610895,0.7345445807940989,0.4615384615384615,0.6892524708931933,0.8910175311765769,0.8561199925930498,101761.6214294001,1.2567507462999568,3.678352482537506,0.16071457040952303,,1159954.0116690004,,,,0
19,GHC-uid,GHC,uid,27665,80972,14,0.538293216630197,0.7483625263608038,0.5893037336024218,0.7660281942503986,0.9237303452015182,0.8995123757792729,113515.39418420017,1.4019092301561054,4.1032132363708715,0.1654447815924042,,1280885.1918540022,,,,0
20,GHC-comp,GHC,comp,27665,85699,16,0.5284872298624754,0.7403582646127664,0.4140687450039968,0.6710500818785325,0.9132477860112055,0.8718083245890171,108004.20467379989,1.2602738033559304,3.9040016148129366,0.16226456895996277,,1233141.1388149974,,,,0
21,GHC-compUid,GHC,compUid,27665,85699,16,0.5420168067226891,0.7494541221669606,0.5880647499395989,0.7657748921231688,0.9212000722935116,0.9006062725894834,113546.06160580006,1.3249403330937357,4.104321764171337,0.1648052005904363,,1290179.1681609992,,,,0
22,GHC-sbertbase,GHC,sbertbase,27665,85699,16,0.5582191780821918,0.7530437171477842,0.4515517649846008,0.6873041172780883,0.9067413699620459,0.8650460533986243,107466.5324839998,1.2539998422852052,3.8845665094523696,0.15441118783766833,,1220505.5873270014,,,,0
23,GHC-uid,GHC,uid,27665,85699,16,0.5646196150320806,0.7585002837065165,0.5870427501101807,0.7620467361568706,0.9141514549069221,0.8907543430103766,118175.69964749999,1.3789624108507683,4.271668160039761,0.16205439196956675,,1333968.6666019985,,,,0
24,GHC-comp,GHC,comp,27665,86529,18,0.5471877979027645,0.749884205430368,0.43028294672444556,0.6787254014099303,0.9141514549069221,0.8708465761340654,105692.75561580015,1.2214720569496949,3.820450230103024,0.15321385527626968,,1202879.724429005,,,,0
25,GHC-compUid,GHC,compUid,27665,86529,18,0.5571030640668524,0.7546752681431468,0.5944312540470538,0.765874932491052,0.9137899873486355,0.8914186651256862,113159.8574992735,1.3077680026265586,4.090361738632694,0.16066924390772377,,1284638.6942967074,,,,0
26,GHC-sbertbase,GHC,sbertbase,27665,86529,18,0.5268817204301075,0.7318964112187407,0.4613756613756614,0.68810794111112,0.8886679920477137,0.8529326784166426,108424.8651228998,1.2530465522876701,3.9192071253533274,0.15669725639611645,,1232033.2769499929,,,,0
27,GHC-uid,GHC,uid,27665,86529,18,0.5676392572944297,0.7592096638762033,0.6,0.767171207534477,0.9116211819989156,0.8872002311470674,114383.02370199817,1.3219039131620403,4.1345752287004585,0.15766479787005094,,1294272.3264309606,,,,0
28,GHC-comp,GHC,comp,24360,50693,6,0.48191027496382055,0.6982139722479084,0.45040593010942465,0.681102812106205,0.8532486165197787,0.8479937518305184,63586.25792039966,1.2543400059258607,2.610273313645306,0.1900933733217716,,741865.2406130132,,,,1
29,GHC-compUid,GHC,compUid,24360,50693,6,0.6297029702970297,0.7808226121653776,0.6289517470881864,0.7825841053386129,0.8850174216027874,0.891145172312799,69001.59633270014,1.3611661636261443,2.8325778461699564,0.19175623016589877,,797121.7920319996,,,,1
30,GHC-sbertbase,GHC,sbertbase,24360,50693,6,0.4945205479452055,0.7027917273348587,0.462,0.6848487933203705,0.8487394957983193,0.8424289758859709,63269.94044209986,1.248100140889272,2.5972881954885,0.17878317774248403,,732619.7226489949,,,,1
31,GHC-uid,GHC,uid,24360,50693,6,0.6320293398533007,0.7789548324481967,0.6292404683278295,0.7786248975273656,0.8766140602582496,0.8794298545348043,70249.05657180063,1.3857742996429612,2.8837872155911586,0.1921062073757805,,809790.7501330102,,,,1
32,GHC-comp,GHC,comp,24366,59270,8,0.4400684931506849,0.6819755873574654,0.41140382533381453,0.6670873949340601,0.865983606557377,0.8634575136040185,75774.51459929999,1.2784632124059387,3.1098462857793643,0.17504217492323562,,872142.8644640018,,,,1
33,GHC-compUid,GHC,compUid,24366,59270,8,0.6549192364170338,0.7994767651482644,0.6040480708412397,0.7718233407081536,0.9036885245901639,0.8951862704060276,82688.95889350006,1.3951233152269287,3.3936205734835454,0.18393164540745713,,946828.6733629993,,,,1
34,GHC-sbertbase,GHC,sbertbase,24366,59270,8,0.49555099247091033,0.7033725561221885,0.4607092198581561,0.6836813960817911,0.8489754098360656,0.8408539137714525,79483.88925639974,1.3410475663303483,3.262081968989565,0.17726430001180787,,910381.5563059961,,,,1
35,GHC-uid,GHC,uid,24366,59270,8,0.6670761670761671,0.8002129482700069,0.6118980169971672,0.7682871901350109,0.8889344262295082,0.8738384261197154,83318.82085719972,1.4057503097216082,3.4194706089304656,0.1828815623586985,,952432.1657249985,,,,1
36,GHC-comp,GHC,comp,24366,67038,10,0.5225225225225226,0.7340383415032428,0.4564898915909757,0.6887785401106233,0.9022540983606557,0.8621535260459241,92300.75319030021,1.3768422863197023,3.788096248473291,0.1705053362898675,,1049029.3360370034,,,,1
