,dataset_name,ds_name,model,dataset_size,number_annotations,num_annos,f1_bin_maj,f1_macro_maj,f1_bin_indi,f1_macro_indi,test_acc_maj,test_acc_indi,mean_train_millis,mean_train_millis_per_annotation,mean_train_millis_per_sample,mean_eval_millis_per_annotation,mean_test_millis_per_annotation,sum_all_millis,annotations_per_anno,comment_percentage,learning_rate,fold
156,SC-uid-aa-anchor-logits-6-3,sc,uid-aa-anchor-logits-6-3,2787,3265,6,0.2365591397849462,0.5325307776219417,0.2385321100917431,0.5357650490096542,0.7199211045364892,0.7260726072607261,91301.79170629708,27.963795315864342,32.7598822053452,1.300599695191181,,960132.3748709692,,,,0
157,SC-uid-aa-anchor-logits-6-3,sc,uid-aa-anchor-logits-6-3,7871,13779,50,0.3624678663239075,0.5674724652720454,0.3860430586488493,0.5834851054833651,0.6646382691007438,0.6770792659117533,411176.25379553065,29.840790608573236,52.239391919137425,0.7341609003250903,,4221985.863959882,,,,0
158,SC-uid-aa-anchor-logits-6-3,sc,uid-aa-anchor-logits-6-3,13768,41256,300,0.024875621890547265,0.4269229767393399,0.03854210305823209,0.43871647097453553,0.7089829250185598,0.724025974025974,1604980.7301273919,38.902965147551676,116.57326627886344,0.7254823724647174,,16378656.029317878,,,,0
159,SC-uid-aa-anchor-logits-6-3,sc,uid-aa-anchor-logits-6-3,17699,95899,1600,0.0,0.4164563351842504,0.0,0.4099561213769236,0.7136678200692042,0.6947892118355591,7712358.887875639,80.42168206003858,435.75110954718565,0.700504670601959,,77861860.43143272,,,,0
160,SC-uid-aa-anchor-logits-6-3,sc,uid-aa-anchor-logits-6-3,12636,32698,200,0.31197771587743733,0.5599795290970498,0.2801377726750861,0.5482321516436655,0.6997568881685575,0.7073284580675276,1458543.0001673987,44.60648969867878,115.42758785750227,0.721443497896113,,14844545.690831088,,,,0
161,SC-uid-aa-anchor-logits-6-3,sc,uid-aa-anchor-logits-6-3,8010,14486,54,0.3515439429928741,0.5516810624055279,0.366754617414248,0.5661325602948133,0.6410256410256411,0.6577540106951871,506567.39430187736,34.96944596865093,63.24187194779992,0.8129859609545707,,5194777.425719658,,,,0
162,SC-uid-aa-anchor-logits-6-3,sc,uid-aa-anchor-logits-6-3,9135,17189,70,0.4829443447037702,0.621070834559243,0.45349421820010055,0.6064771378674767,0.6714204221334854,0.6659496004917025,530005.9446882922,30.834018540246216,58.019260502276104,0.7950997442901382,,5450422.773511033,,,,0
163,SC-uid-aa-anchor-logits-6-3,sc,uid-aa-anchor-logits-6-3,4619,6597,16,0.32935560859188545,0.5576709497643357,0.3131672597864769,0.5535953694876888,0.6755196304849884,0.6830870279146142,188719.01823629742,28.606793729922302,40.85711587709405,0.828125241306392,,1946283.6338199559,,,,0
164,SC-uid-aa-anchor-logits-6-3,sc,uid-aa-anchor-logits-6-3,16665,73478,900,0.3077858880778589,0.5380069969920862,0.3171962361925542,0.5451687311178892,0.652731156545621,0.6594340905999184,5103545.675967099,69.45678537748849,306.2433648945154,0.7309481066033413,,51625316.76667399,,,,0
165,SC-uid-aa-anchor-logits-6-3,sc,uid-aa-anchor-logits-6-3,6218,9874,30,0.37560192616372395,0.5733218577257702,0.40990099009900993,0.5983696652927095,0.664944013781223,0.6868102995270625,306120.47217413783,31.00268099798844,49.23134000870663,0.7650783010553783,,3143702.3601005785,,,,0
166,SC-uid-aa-anchor-logits-6-3,sc,uid-aa-anchor-logits-6-3,4427,6065,14,0.28070175438596495,0.526190177113428,0.26356589147286824,0.5220831766833163,0.6533816425120773,0.6619217081850534,161342.0392796863,26.60214992245446,36.445005484455905,0.7328492164556536,,1661900.6103896536,,,,0
