,dataset_name,ds_name,model,dataset_size,number_annotations,num_annos,f1_bin_maj,f1_macro_maj,f1_bin_indi,f1_macro_indi,test_acc_maj,test_acc_indi,mean_train_millis,mean_train_millis_per_annotation,mean_train_millis_per_sample,mean_eval_millis_per_annotation,mean_test_millis_per_annotation,sum_all_millis,annotations_per_anno,comment_percentage,learning_rate,fold
10,GE'fear-sbertbase,GE,sbertbase,33234,46168,6,0.45714285714285713,0.7234814936307473,0.4214046822742475,0.7059235996311296,0.980015026296018,0.981195652173913,26450.25731601054,0.5729132151275892,0.7958794402121484,0.11677310556472927,,323988.7046262156,,,,0
11,GE'fear-uid,GE,uid,33234,46168,6,0.48,0.7350229709035222,0.47183098591549294,0.7317755062057041,0.980465815176559,0.9836956521739131,29036.085740599992,0.628922321534396,0.8736861569657577,0.11813103524952417,,350932.81770500017,,,,0
12,GE'joy-comp,GE,comp,33234,46168,6,0.4164222873900293,0.6924174929013638,0.4289044289044289,0.7004522144522145,0.9400692666767053,0.9466172785706504,27647.583423400287,0.5988473276598572,0.831906584323292,0.1293553379288632,,342300.6899209996,,,,0
13,GE'joy-compUid,GE,compUid,33234,46168,6,0.4566768603465851,0.7066735248810398,0.438984438984439,0.6995062242771877,0.9197410028610149,0.9253731343283582,33831.733234099825,0.7327961625823043,1.017985594093393,0.12629971858212924,,402517.1157179957,,,,0
14,GE'joy-sbertbase,GE,sbertbase,33234,46168,6,0.416969696969697,0.6891784344204671,0.40375586854460094,0.6835179042023299,0.9275711489233549,0.9308203508007408,26805.8814014,0.5806160414442905,0.8065800505927665,0.11629483420984227,,326290.87016700004,,,,0
15,GE'joy-uid,GE,uid,33234,46168,6,0.4552058111380145,0.7095393217539783,0.44117647058823534,0.7041503531854546,0.9322391206143653,0.9379017322148382,28758.53396439925,0.6229105433286962,0.8653347163868101,0.10747591226156922,,342771.6591109638,,,,0
16,GE'sadness-comp,GE,comp,33234,46168,6,0.48066298342541436,0.7254132247709519,0.4580777096114519,0.7139425804523022,0.9435689629296112,0.9428016404057846,26507.859969401034,0.5741608899974232,0.7976126848829823,0.1313204909745326,,331777.4782940978,,,,0
17,GE'sadness-compUid,GE,compUid,33234,46168,6,0.42890995260663506,0.6951471730666567,0.4045936395759717,0.6829290036960318,0.9276602131172145,0.9272609540254695,28914.858353899035,0.6262965333975705,0.8700384652433963,0.12773834388756228,,354167.3444640037,,,,0
18,GE'sadness-sbertbase,GE,sbertbase,33234,46168,6,0.45779220779220775,0.7157568434712416,0.44228432563791004,0.7081826507064699,0.9498724298364101,0.9504640621627455,25861.808874900453,0.5601674076178403,0.7781732224499144,0.11002365543458706,,313566.6002820508,,,,0
19,GE'sadness-uid,GE,uid,33234,46168,6,0.45686900958466453,0.7150486780206787,0.4414957780458384,0.7076710093979968,0.9489719345640102,0.950032376429959,30224.061485999933,0.6546539049991321,0.9094319517963512,0.1220664170204444,,364800.9673649976,,,,0
20,GE'surprise-comp,GE,comp,33234,46168,6,0.49082568807339455,0.7368028533447953,0.4862068965517242,0.7348173844342427,0.9666866746698679,0.9678913910138993,25795.090647798497,0.5587222892002793,0.77616569319969,0.130622454232368,,324548.6824359832,,,,0
21,GE'surprise-compUid,GE,compUid,33234,46168,6,0.46953405017921146,0.7231773618163089,0.45528455284552843,0.7163653464407175,0.9555822328931572,0.9566857019717703,27662.376880593365,0.5991677543015371,0.8323517145270917,0.12468143682422682,,340039.1096509411,,,,0
22,GE'surprise-sbertbase,GE,sbertbase,33234,46168,6,0.5102040816326531,0.7457547904658046,0.5031055900621119,0.7426232269989095,0.963985594237695,0.965520956793449,25719.068121816963,0.5570756394432715,0.7738782006925727,0.1033540202325781,,308742.7421291359,,,,0
23,GE'surprise-uid,GE,uid,33234,46168,6,0.47294589178356716,0.7262227315336887,0.4704097116843703,0.7254578860605843,0.9605342136854742,0.9623962935028553,27725.73475569989,0.6005400874133575,0.8342581319040708,0.1186182953430974,,336789.5404170004,,,,0
24,GE'anger-comp,GE,comp,39376,56931,8,0.42544316996871745,0.694095393381357,0.39621152328334647,0.6804179003699969,0.930031746031746,0.9331644242530142,32079.479775670916,0.5634799981674469,0.8146962559851411,0.11985274627054869,,396048.05587697774,,,,0
25,GE'anger-compUid,GE,compUid,39376,56931,8,0.4435215946843853,0.6987304109816811,0.3994943109987357,0.6774571508067353,0.9149206349206349,0.9170015726017823,35389.1438827035,0.6216146542780472,0.8987490827586221,0.12490613868513094,,432082.8939478961,,,,0
26,GE'anger-sbertbase,GE,sbertbase,39376,56931,8,0.41125121241513096,0.6850059988972863,0.3840579710144928,0.6722725704830739,0.9229206349206349,0.9257382491700157,31490.58003531536,0.5531359019745896,0.7997404519330394,0.10653063364244701,,380705.7752631372,,,,0
27,GE'anger-uid,GE,uid,39376,56931,8,0.44131455399061037,0.7003985095455265,0.4075416968817984,0.6847823298707323,0.9244444444444444,0.9286213524375327,34682.16226509994,0.6091964354235819,0.8807944500482513,0.10258972903866091,,411843.277388999,,,,0
28,GE'disgust-comp,GE,comp,39376,56931,8,0.3910969793322734,0.6829107281667636,0.3837902264600715,0.6801520523114877,0.9514636928145989,0.9547523192718361,31731.081773806363,0.5573603445189153,0.8058482774737495,0.12382361377492544,,394834.07931867987,,,,0
29,GE'disgust-compUid,GE,compUid,39376,56931,8,0.45006657789613846,0.711295014714818,0.4375,0.7064167275717157,0.9476618932961601,0.9527393663574304,35272.218504798366,0.6195608456692903,0.8957796247663137,0.1256970165287729,,431623.1369289453,,,,0
30,GE'disgust-sbertbase,GE,sbertbase,39376,56931,8,0.4105090311986864,0.6934242908580264,0.40438489646772235,0.6910944499587035,0.9545051324293499,0.9572028706458954,33134.246173195424,0.5820070993517666,0.8414832937117895,0.11442205288159328,,403293.42520897626,,,,0
31,GE'disgust-uid,GE,uid,39376,56931,8,0.41949778434268836,0.6967399547334097,0.419811320754717,0.6987258748838119,0.9501964263084527,0.9569403115701033,34370.981449098326,0.603730506210998,0.8728916459035536,0.10077427384184033,,405692.8732878878,,,,0
32,GE'fear-comp,GE,comp,39376,56931,8,0.38329238329238324,0.6834846516839103,0.3433962264150943,0.6638404542480096,0.9681956411556006,0.9693040486901296,32342.15081429975,0.5680938471886977,0.8213670970718141,0.12017819126661504,,398721.2235479929,,,,0
33,GE'fear-compUid,GE,compUid,39376,56931,8,0.4507042253521127,0.7190328437668594,0.4166666666666667,0.7026683751461199,0.9752914343639129,0.9777718973273353,36772.11008719987,0.6459066253394438,0.9338711419951207,0.12343817892712011,,445154.70628299774,,,,0
34,GE'fear-sbertbase,GE,sbertbase,39376,56931,8,0.4421052631578947,0.7159232683942258,0.4225352112676057,0.7066751059698394,0.9798530157121136,0.9819176148893005,32294.676547218114,0.5672599558626779,0.8201614320199643,0.11084558504537464,,392546.1881743977,,,,0
35,GE'fear-uid,GE,uid,39376,56931,8,0.46896551724137936,0.7295130929436534,0.44508670520231214,0.7182438183840296,0.9804865686771415,0.9830643027255888,35514.466698899836,0.6238159649206906,0.9019318036087931,0.11542244401644089,,425827.3428049979,,,,0
36,GE'joy-comp,GE,comp,39376,56931,8,0.3968668407310705,0.6830354734251273,0.3788634097706879,0.6750841391352633,0.941400304414003,0.9451439640750198,33237.74119000008,0.5838250020199905,0.8441116718305587,0.1213305283887576,,407458.32029700605,,,,0
37,GE'joy-compUid,GE,compUid,39376,56931,8,0.4309012875536481,0.6927498288757763,0.39626417611741166,0.6768028398852437,0.9159056316590564,0.9203134630624284,34610.367543797474,0.6079353523352387,0.8789711383532475,0.11166142038077616,,416222.11253398564,,,,0
38,GE'joy-sbertbase,GE,sbertbase,39376,56931,8,0.4592314901593252,0.70999122974057,0.4196675900277008,0.6901346882907662,0.9268138001014713,0.9262129083384697,32070.324588699987,0.5633191861850307,0.8144637492050992,0.11506506636278936,,392650.3196329994,,,,0
