______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/692: Loss: 0.77 | Accuracy: 0.69
[Training] Itteration/Batch:  25/692: Loss: 0.76 | Accuracy: 0.62
[Training] Itteration/Batch:  50/692: Loss: 0.59 | Accuracy: 0.81
[Training] Itteration/Batch:  75/692: Loss: 0.59 | Accuracy: 0.81
[Training] Itteration/Batch: 100/692: Loss: 0.74 | Accuracy: 0.62
[Training] Itteration/Batch: 125/692: Loss: 0.71 | Accuracy: 0.69
[Training] Itteration/Batch: 150/692: Loss: 0.63 | Accuracy: 0.75
[Training] Itteration/Batch: 175/692: Loss: 0.49 | Accuracy: 0.88
[Training] Itteration/Batch: 200/692: Loss: 0.72 | Accuracy: 0.69
[Training] Itteration/Batch: 225/692: Loss: 0.74 | Accuracy: 0.62
[Training] Itteration/Batch: 250/692: Loss: 0.69 | Accuracy: 0.69
[Training] Itteration/Batch: 275/692: Loss: 0.80 | Accuracy: 0.56
[Training] Itteration/Batch: 300/692: Loss: 0.59 | Accuracy: 0.81
[Training] Itteration/Batch: 325/692: Loss: 0.75 | Accuracy: 0.62
[Training] Itteration/Batch: 350/692: Loss: 0.77 | Accuracy: 0.62
[Training] Itteration/Batch: 375/692: Loss: 0.63 | Accuracy: 0.75
[Training] Itteration/Batch: 400/692: Loss: 0.60 | Accuracy: 0.81
[Training] Itteration/Batch: 425/692: Loss: 0.68 | Accuracy: 0.69
[Training] Itteration/Batch: 450/692: Loss: 0.70 | Accuracy: 0.62
[Training] Itteration/Batch: 475/692: Loss: 0.84 | Accuracy: 0.56
[Training] Itteration/Batch: 500/692: Loss: 0.59 | Accuracy: 0.81
[Training] Itteration/Batch: 525/692: Loss: 0.55 | Accuracy: 0.88
[Training] Itteration/Batch: 550/692: Loss: 0.73 | Accuracy: 0.62
[Training] Itteration/Batch: 575/692: Loss: 0.61 | Accuracy: 0.81
[Training] Itteration/Batch: 600/692: Loss: 0.76 | Accuracy: 0.62
[Training] Itteration/Batch: 625/692: Loss: 0.52 | Accuracy: 0.88
[Training] Itteration/Batch: 650/692: Loss: 0.75 | Accuracy: 0.62
[Training] Itteration/Batch: 675/692: Loss: 0.50 | Accuracy: 0.88

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 0.4211187932118165 |             Val Bin F1 Individual 0.0 | Val Macro F1 Individual 0.4069626925153627 |             Val Accuracy Majority 0.7274701595306396 | Val Accuracy Individual 0.6862345337867737 | Training Loss:0.6670366525650024 |             Val Loss 0.6508536338806152 | Train Runtime Millis 195878.71859000006 | Val Runtime Millis 56770.37597100025

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/692: Loss: 0.65 | Accuracy: 0.75
[Training] Itteration/Batch:  25/692: Loss: 0.80 | Accuracy: 0.69
[Training] Itteration/Batch:  50/692: Loss: 0.58 | Accuracy: 0.81
[Training] Itteration/Batch:  75/692: Loss: 0.78 | Accuracy: 0.56
[Training] Itteration/Batch: 100/692: Loss: 0.75 | Accuracy: 0.56
[Training] Itteration/Batch: 125/692: Loss: 0.67 | Accuracy: 0.69
[Training] Itteration/Batch: 150/692: Loss: 0.74 | Accuracy: 0.56
[Training] Itteration/Batch: 175/692: Loss: 0.85 | Accuracy: 0.56
[Training] Itteration/Batch: 200/692: Loss: 0.54 | Accuracy: 0.88
[Training] Itteration/Batch: 225/692: Loss: 0.65 | Accuracy: 0.56
[Training] Itteration/Batch: 250/692: Loss: 0.48 | Accuracy: 0.88
[Training] Itteration/Batch: 275/692: Loss: 0.69 | Accuracy: 0.69
[Training] Itteration/Batch: 300/692: Loss: 0.83 | Accuracy: 0.69
[Training] Itteration/Batch: 325/692: Loss: 0.44 | Accuracy: 0.94
[Training] Itteration/Batch: 350/692: Loss: 0.94 | Accuracy: 0.56
[Training] Itteration/Batch: 375/692: Loss: 0.63 | Accuracy: 0.62
[Training] Itteration/Batch: 400/692: Loss: 0.74 | Accuracy: 0.69
[Training] Itteration/Batch: 425/692: Loss: 0.63 | Accuracy: 0.62
[Training] Itteration/Batch: 450/692: Loss: 0.85 | Accuracy: 0.62
[Training] Itteration/Batch: 475/692: Loss: 0.52 | Accuracy: 0.88
[Training] Itteration/Batch: 500/692: Loss: 0.60 | Accuracy: 0.81
[Training] Itteration/Batch: 525/692: Loss: 0.54 | Accuracy: 0.69
[Training] Itteration/Batch: 550/692: Loss: 0.64 | Accuracy: 0.69
[Training] Itteration/Batch: 575/692: Loss: 0.82 | Accuracy: 0.56
