______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/623: Loss: 0.67 | Accuracy: 0.69
[Training] Itteration/Batch:  25/623: Loss: 0.76 | Accuracy: 0.62
[Training] Itteration/Batch:  50/623: Loss: 0.53 | Accuracy: 0.88
[Training] Itteration/Batch:  75/623: Loss: 0.69 | Accuracy: 0.69
[Training] Itteration/Batch: 100/623: Loss: 0.65 | Accuracy: 0.75
[Training] Itteration/Batch: 125/623: Loss: 0.63 | Accuracy: 0.75
[Training] Itteration/Batch: 150/623: Loss: 0.63 | Accuracy: 0.75
[Training] Itteration/Batch: 175/623: Loss: 0.63 | Accuracy: 0.75
[Training] Itteration/Batch: 200/623: Loss: 0.84 | Accuracy: 0.44
[Training] Itteration/Batch: 225/623: Loss: 0.52 | Accuracy: 0.88
[Training] Itteration/Batch: 250/623: Loss: 0.56 | Accuracy: 0.88
[Training] Itteration/Batch: 275/623: Loss: 0.55 | Accuracy: 0.88
[Training] Itteration/Batch: 300/623: Loss: 0.80 | Accuracy: 0.62
[Training] Itteration/Batch: 325/623: Loss: 0.79 | Accuracy: 0.56
[Training] Itteration/Batch: 350/623: Loss: 0.71 | Accuracy: 0.69
[Training] Itteration/Batch: 375/623: Loss: 0.60 | Accuracy: 0.75
[Training] Itteration/Batch: 400/623: Loss: 0.66 | Accuracy: 0.75
[Training] Itteration/Batch: 425/623: Loss: 0.56 | Accuracy: 0.81
[Training] Itteration/Batch: 450/623: Loss: 0.76 | Accuracy: 0.62
[Training] Itteration/Batch: 475/623: Loss: 0.59 | Accuracy: 0.75
[Training] Itteration/Batch: 500/623: Loss: 0.58 | Accuracy: 0.81
[Training] Itteration/Batch: 525/623: Loss: 0.97 | Accuracy: 0.56
[Training] Itteration/Batch: 550/623: Loss: 0.56 | Accuracy: 0.81
[Training] Itteration/Batch: 575/623: Loss: 0.66 | Accuracy: 0.56
[Training] Itteration/Batch: 600/623: Loss: 0.84 | Accuracy: 0.69

Epoch 1: Val Bin. F1 Majority 0.3840000033378601 | Val Macro F1 Majority 0.5726078147612156 |             Val Bin F1 Individual 0.3828703761100769 | Val Macro F1 Individual 0.5654427466218581 |             Val Accuracy Majority 0.655840277671814 | Val Accuracy Individual 0.6421476602554321 | Training Loss:0.6666541695594788 |             Val Loss 0.654310941696167 | Train Runtime Millis 73921.75675800536 | Val Runtime Millis 17320.126924023498

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/623: Loss: 0.52 | Accuracy: 0.62
[Training] Itteration/Batch:  25/623: Loss: 0.64 | Accuracy: 0.69
[Training] Itteration/Batch:  50/623: Loss: 0.57 | Accuracy: 0.81
[Training] Itteration/Batch:  75/623: Loss: 0.67 | Accuracy: 0.50
[Training] Itteration/Batch: 100/623: Loss: 0.48 | Accuracy: 0.75
[Training] Itteration/Batch: 125/623: Loss: 0.57 | Accuracy: 0.75
[Training] Itteration/Batch: 150/623: Loss: 0.70 | Accuracy: 0.69
[Training] Itteration/Batch: 175/623: Loss: 0.57 | Accuracy: 0.62
[Training] Itteration/Batch: 200/623: Loss: 0.72 | Accuracy: 0.81
[Training] Itteration/Batch: 225/623: Loss: 0.63 | Accuracy: 0.69
[Training] Itteration/Batch: 250/623: Loss: 0.49 | Accuracy: 0.81
[Training] Itteration/Batch: 275/623: Loss: 0.49 | Accuracy: 0.75
[Training] Itteration/Batch: 300/623: Loss: 0.65 | Accuracy: 0.75
[Training] Itteration/Batch: 325/623: Loss: 0.70 | Accuracy: 0.69
[Training] Itteration/Batch: 350/623: Loss: 0.65 | Accuracy: 0.62
[Training] Itteration/Batch: 375/623: Loss: 0.59 | Accuracy: 0.81
[Training] Itteration/Batch: 400/623: Loss: 0.77 | Accuracy: 0.62
[Training] Itteration/Batch: 425/623: Loss: 0.76 | Accuracy: 0.69
[Training] Itteration/Batch: 450/623: Loss: 0.67 | Accuracy: 0.69
[Training] Itteration/Batch: 475/623: Loss: 0.69 | Accuracy: 0.56
[Training] Itteration/Batch: 500/623: Loss: 0.48 | Accuracy: 0.75
[Training] Itteration/Batch: 525/623: Loss: 0.61 | Accuracy: 0.69
[Training] Itteration/Batch: 550/623: Loss: 0.43 | Accuracy: 0.75
[Training] Itteration/Batch: 575/623: Loss: 1.00 | Accuracy: 0.56
[Training] Itteration/Batch: 600/623: Loss: 0.62 | Accuracy: 0.75

Epoch 2: Val Bin. F1 Majority 0.2520754635334015 | Val Macro F1 Majority 0.5340570415850878 |             Val Bin F1 Individual 0.26466310024261475 | Val Macro F1 Individual 0.5359569848119748 |             Val Accuracy Majority 0.7047079801559448 | Val Accuracy Individual 0.6945637464523315 | Training Loss:0.6322147250175476 |             Val Loss 0.6574847102165222 | Train Runtime Millis 72778.04847399238 | Val Runtime Millis 17191.565568035003

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/623: Loss: 0.45 | Accuracy: 0.81
[Training] Itteration/Batch:  25/623: Loss: 0.54 | Accuracy: 0.75
[Training] Itteration/Batch:  50/623: Loss: 0.63 | Accuracy: 0.69
[Training] Itteration/Batch:  75/623: Loss: 0.44 | Accuracy: 0.81
[Training] Itteration/Batch: 100/623: Loss: 0.42 | Accuracy: 0.94
[Training] Itteration/Batch: 125/623: Loss: 0.49 | Accuracy: 0.75
[Training] Itteration/Batch: 150/623: Loss: 0.47 | Accuracy: 0.75
[Training] Itteration/Batch: 175/623: Loss: 0.50 | Accuracy: 0.69
[Training] Itteration/Batch: 200/623: Loss: 0.45 | Accuracy: 0.88
[Training] Itteration/Batch: 225/623: Loss: 0.50 | Accuracy: 0.75
[Training] Itteration/Batch: 250/623: Loss: 0.45 | Accuracy: 0.75
[Training] Itteration/Batch: 275/623: Loss: 0.67 | Accuracy: 0.62
[Training] Itteration/Batch: 300/623: Loss: 0.59 | Accuracy: 0.62
[Training] Itteration/Batch: 325/623: Loss: 0.47 | Accuracy: 0.81
[Training] Itteration/Batch: 350/623: Loss: 0.37 | Accuracy: 0.88
[Training] Itteration/Batch: 375/623: Loss: 0.59 | Accuracy: 0.75
[Training] Itteration/Batch: 400/623: Loss: 0.37 | Accuracy: 0.88
[Training] Itteration/Batch: 425/623: Loss: 0.54 | Accuracy: 0.75
[Training] Itteration/Batch: 450/623: Loss: 0.80 | Accuracy: 0.62
[Training] Itteration/Batch: 475/623: Loss: 0.61 | Accuracy: 0.69
[Training] Itteration/Batch: 500/623: Loss: 0.26 | Accuracy: 0.94
[Training] Itteration/Batch: 525/623: Loss: 0.94 | Accuracy: 0.56
[Training] Itteration/Batch: 550/623: Loss: 0.38 | Accuracy: 0.69
[Training] Itteration/Batch: 575/623: Loss: 0.41 | Accuracy: 0.88
[Training] Itteration/Batch: 600/623: Loss: 0.28 | Accuracy: 0.88

Epoch 3: Val Bin. F1 Majority 0.37486910820007324 | Val Macro F1 Majority 0.5631113563065999 |             Val Bin F1 Individual 0.39132851362228394 | Val Macro F1 Individual 0.5640853105526462 |             Val Accuracy Majority 0.6442192792892456 | Val Accuracy Individual 0.6325503587722778 | Training Loss:0.5113438367843628 |             Val Loss 0.793515145778656 | Train Runtime Millis 72849.99186400091 | Val Runtime Millis 17219.01652199449

