______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/517: Loss: 3.34 | Accuracy: 0.52
[Training] Itteration/Batch:  25/517: Loss: 1.89 | Accuracy: 0.64
[Training] Itteration/Batch:  50/517: Loss: 1.90 | Accuracy: 0.67
[Training] Itteration/Batch:  75/517: Loss: 4.03 | Accuracy: 0.58
[Training] Itteration/Batch: 100/517: Loss: 3.69 | Accuracy: 0.68
[Training] Itteration/Batch: 125/517: Loss: 1.84 | Accuracy: 0.65
[Training] Itteration/Batch: 150/517: Loss: 1.93 | Accuracy: 0.65
[Training] Itteration/Batch: 175/517: Loss: 3.18 | Accuracy: 0.50
[Training] Itteration/Batch: 200/517: Loss: 1.35 | Accuracy: 0.77
[Training] Itteration/Batch: 225/517: Loss: 1.69 | Accuracy: 0.64
[Training] Itteration/Batch: 250/517: Loss: 2.42 | Accuracy: 0.47
[Training] Itteration/Batch: 275/517: Loss: 1.37 | Accuracy: 0.78
[Training] Itteration/Batch: 300/517: Loss: 5.70 | Accuracy: 0.45
[Training] Itteration/Batch: 325/517: Loss: 3.14 | Accuracy: 0.56
[Training] Itteration/Batch: 350/517: Loss: 4.34 | Accuracy: 0.45
[Training] Itteration/Batch: 375/517: Loss: 2.04 | Accuracy: 0.72
[Training] Itteration/Batch: 400/517: Loss: 1.84 | Accuracy: 0.70
[Training] Itteration/Batch: 425/517: Loss: 1.70 | Accuracy: 0.78
[Training] Itteration/Batch: 450/517: Loss: 2.35 | Accuracy: 0.75
[Training] Itteration/Batch: 475/517: Loss: 1.72 | Accuracy: 0.74
[Training] Itteration/Batch: 500/517: Loss: 1.32 | Accuracy: 0.64

Epoch 1: Val Bin. F1 Majority 0.0 | Val Macro F1 Majority 0.41759864950411474 |             Val Bin F1 Individual 0.21927790343761444 | Val Macro F1 Individual 0.524665270982721 |             Val Accuracy Majority 0.7170289754867554 | Val Accuracy Individual 0.720866858959198 | Training Loss:2.036278486251831 |             Val Loss 1.9964320659637451 | Train Runtime Millis 203729.16990797967 | Val Runtime Millis 38001.85470699216

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/517: Loss: 1.03 | Accuracy: 0.89
[Training] Itteration/Batch:  25/517: Loss: 1.79 | Accuracy: 0.60
[Training] Itteration/Batch:  50/517: Loss: 2.96 | Accuracy: 0.66
[Training] Itteration/Batch:  75/517: Loss: 1.35 | Accuracy: 0.73
[Training] Itteration/Batch: 100/517: Loss: 3.60 | Accuracy: 0.59
[Training] Itteration/Batch: 125/517: Loss: 0.88 | Accuracy: 0.75
[Training] Itteration/Batch: 150/517: Loss: 3.51 | Accuracy: 0.62
[Training] Itteration/Batch: 175/517: Loss: 1.97 | Accuracy: 0.78
[Training] Itteration/Batch: 200/517: Loss: 1.25 | Accuracy: 0.68
[Training] Itteration/Batch: 225/517: Loss: 2.04 | Accuracy: 0.80
[Training] Itteration/Batch: 250/517: Loss: 2.17 | Accuracy: 0.51
[Training] Itteration/Batch: 275/517: Loss: 1.76 | Accuracy: 0.73
[Training] Itteration/Batch: 300/517: Loss: 1.31 | Accuracy: 0.69
[Training] Itteration/Batch: 325/517: Loss: 2.32 | Accuracy: 0.73
[Training] Itteration/Batch: 350/517: Loss: 1.41 | Accuracy: 0.79
[Training] Itteration/Batch: 375/517: Loss: 1.99 | Accuracy: 0.60
[Training] Itteration/Batch: 400/517: Loss: 1.63 | Accuracy: 0.66
[Training] Itteration/Batch: 425/517: Loss: 1.96 | Accuracy: 0.68
[Training] Itteration/Batch: 450/517: Loss: 1.47 | Accuracy: 0.79
[Training] Itteration/Batch: 475/517: Loss: 1.32 | Accuracy: 0.63
[Training] Itteration/Batch: 500/517: Loss: 1.91 | Accuracy: 0.80

Epoch 2: Val Bin. F1 Majority 0.09739524126052856 | Val Macro F1 Majority 0.4627584369262842 |             Val Bin F1 Individual 0.2606250047683716 | Val Macro F1 Individual 0.5438864333722969 |             Val Accuracy Majority 0.7112318873405457 | Val Accuracy Individual 0.7198010683059692 | Training Loss:1.975188136100769 |             Val Loss 1.9989858865737915 | Train Runtime Millis 204674.81228001998 | Val Runtime Millis 37903.64196198061

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/517: Loss: 1.23 | Accuracy: 0.71
